Thumb,Index,Middle,Ring,Pinky,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Letter
1063,0,0,0,0,9.81,-2.03,-0.80,-0.10,0.01,-0.01,-30
1053,0,0,0,0,9.83,-2.04,-0.72,-0.10,0.02,-0.01,-30
1070,0,0,0,0,9.82,-2.08,-0.76,-0.08,0.01,-0.01,-30
1067,0,0,0,0,9.84,-1.99,-0.71,-0.09,0.01,-0.01,-30
1036,0,0,0,0,9.87,-1.94,-0.77,-0.10,0.02,-0.01,-30
1011,0,0,0,0,9.80,-2.16,-0.62,-0.15,-0.00,0.02,-30
1045,0,0,0,0,9.85,-2.07,-0.76,-0.06,-0.00,-0.00,-30
1023,0,0,0,0,9.97,-1.87,-0.32,-0.09,0.04,0.02,-30
1083,0,0,0,0,9.81,-2.22,-0.85,-0.12,0.02,-0.06,-30
1086,0,0,0,0,9.90,-1.92,-0.55,-0.07,-0.02,-0.00,-30
937,0,0,0,0,9.88,-1.99,-0.86,-0.11,0.01,-0.01,-30
950,0,0,0,0,9.82,-1.96,-0.67,-0.12,0.03,-0.00,-30
929,0,0,0,0,9.84,-2.02,-0.91,-0.07,0.01,-0.04,-30
947,0,0,0,0,9.84,-2.03,-0.66,-0.09,0.03,-0.01,-30
924,0,0,0,0,9.84,-2.05,-0.85,-0.10,-0.01,-0.01,-30
960,0,0,0,0,9.86,-1.97,-0.85,-0.11,0.01,-0.00,-30
947,0,0,0,0,9.80,-1.99,-0.95,0.06,-0.02,0.03,-30
959,0,0,0,0,9.87,-1.94,-0.68,-0.08,0.03,0.02,-30
964,0,0,0,0,9.81,-2.17,-0.78,-0.12,0.00,0.01,-30
990,0,0,0,0,9.82,-2.14,-0.83,-0.10,0.01,-0.01,-30
994,0,0,0,0,9.79,-2.02,-0.71,-0.11,0.03,-0.02,-30
996,0,0,0,0,9.88,-2.05,-0.83,-0.07,-0.01,-0.00,-30
992,0,0,0,0,9.84,-2.01,-0.72,-0.06,0.01,-0.03,-30
988,0,0,0,0,9.81,-2.14,-0.83,-0.10,-0.03,-0.01,-30
944,0,0,0,0,9.78,-1.98,-0.99,-0.10,-0.00,-0.02,-30
1003,0,0,0,0,9.87,-2.11,-0.77,-0.13,0.04,0.03,-30
1008,0,0,0,0,9.81,-2.30,-0.87,-0.08,-0.00,-0.01,-30
938,0,0,0,0,9.88,-2.36,-0.85,-0.08,-0.00,-0.00,-30
969,0,0,0,0,9.78,-2.04,-0.81,-0.10,0.03,-0.00,-30
945,0,0,0,0,9.92,-2.03,-0.96,-0.15,0.04,0.00,-30
912,0,0,0,0,9.82,-2.26,-0.83,-0.09,0.00,0.00,-30
889,0,0,0,0,9.73,-2.11,-0.65,-0.10,0.01,-0.03,-30
955,0,0,0,0,9.74,-2.06,-0.75,-0.10,-0.00,-0.02,-30
940,0,0,0,0,9.75,-2.16,-1.11,-0.10,-0.01,-0.02,-30
922,0,0,0,0,9.81,-2.04,-0.99,-0.13,0.04,-0.01,-30
903,0,0,0,0,9.81,-2.11,-0.83,-0.11,0.03,-0.01,-30
903,0,0,0,0,9.74,-2.09,-0.94,-0.12,0.01,-0.02,-30
882,0,0,0,0,9.84,-2.08,-0.88,-0.13,0.01,-0.01,-30
880,0,0,0,0,9.87,-2.10,-0.92,-0.07,0.02,-0.01,-30
905,0,0,0,0,9.80,-2.10,-0.36,0.03,0.04,-0.01,-30
976,0,0,0,0,9.97,-2.19,-0.93,0.02,-0.04,-0.06,-30
905,0,0,0,0,9.84,-2.04,-1.29,-0.03,-0.06,-0.04,-30
880,0,0,0,0,9.94,-1.98,-0.41,-0.17,0.03,-0.02,-30
860,0,0,0,0,9.74,-1.78,-1.02,-0.09,-0.02,-0.06,-30
834,0,0,0,0,9.83,-1.92,-0.76,-0.16,0.01,-0.01,-30
842,0,0,0,0,9.82,-2.22,-0.86,-0.09,0.03,0.05,-30
853,0,0,0,0,9.86,-1.95,-0.93,-0.12,0.02,-0.03,-30
785,0,0,0,0,9.93,-2.03,-1.15,-0.06,-0.05,-0.02,-30
802,0,0,0,0,9.81,-1.94,-0.94,-0.12,0.09,0.03,-30
834,0,0,0,0,9.79,-2.10,-0.52,-0.10,0.05,0.04,-30
853,0,0,0,0,9.89,-2.17,-0.94,-0.10,-0.04,-0.02,-30
816,0,0,0,0,9.78,-2.00,-1.05,-0.08,0.01,-0.04,-30
824,0,0,0,0,9.89,-1.92,-1.06,-0.12,0.02,0.06,-30
838,0,0,0,0,9.74,-2.19,-0.73,-0.14,0.04,0.01,-30
866,0,0,0,0,9.85,-2.00,-0.95,-0.11,-0.01,0.02,-30
813,0,0,0,0,9.75,-2.04,-0.82,-0.10,0.04,0.03,-30
795,0,0,0,0,9.65,-2.34,-1.19,-0.06,-0.04,-0.02,-30
777,0,0,0,0,9.81,-1.97,-1.09,-0.10,0.05,-0.05,-30
805,0,0,0,0,9.82,-2.00,-0.71,-0.11,0.01,0.03,-30
723,0,0,0,0,9.80,-2.23,-0.99,-0.03,-0.02,-0.03,-30
815,0,0,0,0,9.90,-2.05,-1.01,-0.13,0.03,-0.01,-30
874,0,0,0,0,9.73,-2.10,-0.95,-0.09,0.01,0.01,-30
836,0,0,0,0,9.82,-2.08,-0.97,-0.11,-0.01,0.01,-30
826,0,0,0,0,9.80,-2.04,-1.00,-0.11,0.00,-0.00,-30
826,0,0,0,0,9.86,-2.09,-1.11,-0.13,0.00,0.03,-30
803,0,0,0,0,9.73,-2.14,-0.97,-0.07,-0.00,-0.00,-30
812,0,0,0,0,9.70,-2.25,-1.14,-0.12,-0.01,0.02,-30
809,0,0,0,0,9.73,-2.26,-1.14,-0.11,0.01,0.00,-30
818,0,0,0,0,9.77,-2.25,-1.02,-0.11,0.03,0.00,-30
865,0,0,0,0,9.76,-2.11,-1.17,-0.08,-0.01,-0.00,-30
861,0,0,0,0,9.75,-2.14,-1.08,-0.10,0.02,-0.02,-30
811,0,0,0,0,9.74,-2.17,-1.13,-0.10,0.01,-0.02,-30
832,0,0,0,0,9.80,-2.23,-0.94,-0.08,0.02,-0.00,-30
846,0,0,0,0,9.74,-2.16,-1.11,-0.08,0.01,-0.01,-30
862,0,0,0,0,9.76,-2.19,-1.13,-0.11,0.01,-0.01,-30
857,0,0,0,0,9.68,-2.24,-1.03,-0.11,0.02,-0.00,-30
848,0,0,0,0,9.71,-2.13,-1.07,-0.12,0.01,-0.00,-30
816,0,0,0,0,9.69,-2.21,-1.01,-0.12,0.02,-0.01,-30
784,0,0,0,0,9.80,-2.19,-1.12,-0.11,0.01,-0.01,-30
789,0,0,0,0,9.76,-2.13,-1.08,-0.09,0.01,-0.00,-30
618,0,0,0,0,9.69,-2.23,-1.10,-0.11,0.02,-0.02,-30
630,0,0,0,0,9.75,-2.19,-1.12,-0.11,0.01,-0.00,-30
662,0,0,0,0,9.76,-2.29,-1.15,-0.08,-0.02,0.00,-30
726,0,0,0,0,9.77,-1.87,-0.77,-0.11,0.08,0.01,-30
738,0,0,0,0,9.78,-2.03,-0.94,-0.10,-0.01,0.03,-30
711,0,0,0,0,9.77,-2.38,-1.22,-0.07,-0.00,0.00,-30
704,0,0,0,0,9.75,-2.20,-1.09,-0.09,0.05,0.00,-30
717,0,0,0,0,9.77,-2.12,-0.92,-0.11,0.03,0.01,-30
729,0,0,0,0,9.71,-2.15,-1.04,-0.09,-0.03,-0.03,-30
737,0,0,0,0,9.71,-2.13,-1.24,-0.08,0.00,-0.02,-30
702,0,0,0,0,9.80,-2.34,-0.92,-0.08,0.07,0.02,-30
800,0,0,0,0,9.78,-2.28,-0.72,-0.05,-0.02,-0.02,-30
768,0,0,0,0,9.75,-2.30,-1.14,-0.12,-0.03,-0.00,-30
839,0,0,0,0,9.70,-2.37,-1.20,-0.15,-0.00,-0.01,-30
865,0,0,0,0,9.79,-2.21,-1.18,-0.17,0.05,-0.01,-30
874,0,0,0,0,9.79,-2.20,-0.56,-0.13,0.08,0.02,-30
741,0,0,0,0,9.60,-2.14,-1.13,-0.08,-0.02,-0.07,-30
809,0,0,0,0,9.74,-2.30,-0.87,-0.18,0.09,0.05,-30
829,0,0,0,0,9.77,-2.15,-1.07,-0.07,-0.01,-0.03,-30
843,0,0,0,0,9.74,-2.03,-1.03,-0.09,0.02,0.00,-30
786,0,0,0,0,9.80,-2.45,-0.94,-0.12,0.03,0.01,-30
891,0,0,0,0,9.83,-2.22,-0.91,-0.09,0.05,0.00,-30
882,0,0,0,0,9.63,-2.36,-0.79,-0.07,-0.03,0.02,-30
910,0,0,0,0,9.74,-2.23,-1.06,-0.09,0.01,-0.01,-30
886,0,0,0,0,9.73,-2.43,-0.88,-0.09,0.03,0.02,-30
854,0,0,0,0,9.71,-2.21,-0.90,-0.09,0.02,0.00,-30
815,0,0,0,0,9.69,-2.33,-0.81,-0.09,-0.00,-0.02,-30
810,0,0,0,0,9.76,-2.27,-1.17,-0.10,0.02,0.01,-30
825,0,0,0,0,9.69,-2.48,-0.94,-0.16,0.04,0.02,-30
848,0,0,0,0,9.68,-2.35,-0.95,-0.11,0.01,-0.00,-30
891,0,0,0,0,9.75,-2.39,-0.88,-0.10,0.04,0.00,-30
834,0,0,0,0,9.71,-2.45,-0.90,-0.11,0.01,-0.00,-30
880,0,0,0,0,9.77,-2.45,-1.13,-0.09,-0.02,0.00,-30
751,0,0,0,0,9.69,-2.37,-1.13,-0.11,0.02,0.00,-30
646,0,0,0,0,9.66,-2.57,-1.01,-0.09,-0.03,-0.00,-30
693,0,0,0,0,9.77,-2.38,-0.81,-0.10,0.05,0.00,-30
702,0,0,0,0,9.74,-2.36,-1.15,-0.09,0.00,-0.05,-30
763,0,0,0,0,9.63,-2.36,-1.11,-0.12,0.06,0.01,-30
703,0,0,0,0,9.70,-2.60,-0.91,-0.14,0.07,0.03,-30
767,0,0,0,0,9.66,-2.30,-0.84,-0.18,0.05,0.05,-30
691,0,0,0,0,9.68,-2.48,-0.98,-0.15,0.01,0.02,-30
751,0,0,0,0,9.70,-2.50,-1.10,-0.11,0.04,0.02,-30
837,0,0,0,0,9.79,-2.48,-0.97,-0.09,0.04,0.01,-30
957,0,0,0,0,9.63,-2.50,-0.76,-0.08,0.01,-0.03,-30
917,0,0,0,0,9.69,-2.59,-0.99,-0.06,-0.01,-0.04,-30
901,0,0,0,0,9.76,-2.25,-0.99,-0.04,0.04,-0.07,-30
923,0,0,0,0,9.69,-2.34,-1.34,-0.03,-0.02,-0.05,-30
897,0,0,0,0,9.63,-2.61,-0.75,-0.06,0.01,0.00,-30
897,0,0,0,0,9.74,-2.46,-0.83,-0.09,-0.04,-0.06,-30
923,0,0,0,0,9.74,-2.17,-1.01,-0.14,0.01,-0.06,-30
918,0,0,0,0,9.67,-2.09,-0.92,-0.07,-0.04,-0.04,-30
974,0,0,0,0,9.76,-2.24,-1.11,-0.08,0.03,0.01,-30
944,0,0,0,0,9.75,-2.41,-0.70,-0.09,0.00,-0.00,-30
945,0,0,0,0,9.75,-2.34,-1.15,-0.09,-0.04,-0.03,-30
944,0,0,0,0,9.69,-2.36,-0.94,-0.15,-0.02,-0.01,-30
917,0,0,0,0,9.79,-1.82,-1.23,-0.05,0.08,-0.02,-30
902,0,0,0,0,9.64,-2.66,-1.22,-0.12,-0.02,-0.01,-30
923,0,0,0,0,9.81,-2.37,-1.07,-0.08,0.01,-0.09,-30
918,0,0,0,0,9.71,-2.18,-1.11,-0.09,-0.03,0.00,-30
925,0,0,0,0,9.73,-2.15,-0.98,-0.09,0.03,0.01,-30
925,0,0,0,0,9.74,-2.37,-1.02,-0.11,0.01,0.02,-30
960,0,0,0,0,9.73,-2.14,-1.02,-0.10,0.01,-0.01,-30
802,0,0,0,0,9.72,-2.28,-1.19,-0.10,-0.01,0.00,-30
858,0,0,0,0,9.72,-2.26,-1.12,-0.12,0.04,0.01,-30
757,0,0,0,0,9.70,-2.26,-1.07,-0.11,-0.00,-0.01,-30
739,0,0,0,0,9.68,-2.23,-1.24,-0.10,0.01,-0.02,-30
711,0,0,0,0,9.72,-2.25,-1.13,-0.10,0.02,-0.01,-30
733,0,0,0,0,9.74,-2.21,-1.10,-0.09,0.03,-0.01,-30
720,0,0,0,0,9.74,-2.32,-1.12,-0.10,-0.01,-0.01,-30
741,0,0,0,0,9.79,-2.21,-1.14,-0.10,0.02,-0.00,-30
744,0,0,0,0,9.73,-2.25,-1.10,-0.10,0.00,0.00,-30
688,0,0,0,0,9.75,-2.28,-1.12,-0.10,0.02,-0.01,-30
701,0,0,0,0,9.73,-2.12,-1.22,-0.07,0.01,-0.01,-30
688,0,0,0,0,9.75,-2.24,-1.04,-0.13,0.03,-0.01,-30
704,0,0,0,0,9.74,-2.26,-1.00,-0.13,0.03,-0.00,-30
743,0,0,0,0,9.70,-2.31,-1.07,-0.11,0.01,0.00,-30
707,0,0,0,0,9.72,-2.27,-0.99,-0.08,0.00,-0.02,-30
769,0,0,0,0,9.70,-2.28,-1.05,-0.10,0.01,-0.00,-30
746,0,0,0,0,9.70,-2.15,-1.08,-0.10,0.01,-0.01,-30
729,0,0,0,0,9.79,-2.38,-1.18,-0.12,0.03,0.01,-30
725,0,0,0,0,9.78,-2.34,-1.12,-0.12,0.03,0.01,-30
742,0,0,0,0,9.81,-2.31,-1.04,-0.11,0.01,0.01,-30
701,0,0,0,0,9.59,-2.36,-1.38,-0.18,0.07,-0.01,-30
462,0,0,0,0,9.82,-2.28,-0.99,-0.15,0.06,0.08,-30
343,0,0,0,0,9.62,-2.58,-1.09,-0.23,0.10,0.06,-30
355,0,0,0,0,10.24,-1.54,0.16,-0.26,0.09,0.03,-30
432,0,0,0,0,9.85,-2.26,-0.58,-0.14,0.06,-0.01,-30
441,0,0,0,0,9.67,-2.24,-0.76,-0.05,0.01,-0.03,-30
491,0,0,0,0,9.77,-2.31,-0.89,-0.08,-0.01,-0.01,-30
811,0,0,0,0,9.67,-2.09,-0.88,0.01,-0.06,-0.09,-30
944,0,0,0,0,9.72,-2.38,-0.94,0.00,-0.04,-0.03,-30
862,0,0,0,0,9.84,-2.23,-1.00,-0.08,0.02,-0.00,-30
879,0,0,0,0,9.67,-2.35,-1.04,-0.03,0.01,-0.04,-30
671,0,0,0,0,9.88,-2.32,-0.94,-0.08,-0.01,-0.02,-30
848,0,0,0,0,9.74,-2.03,-0.99,-0.10,0.02,-0.01,-30
899,0,0,0,0,9.77,-2.08,-0.92,-0.11,0.04,-0.02,-30
901,0,0,0,0,9.68,-2.10,-1.49,-0.22,-0.03,0.04,-30
842,0,0,0,0,9.86,-2.33,-0.57,-0.19,0.12,0.07,-30
848,0,0,0,0,9.68,-2.27,-1.35,-0.07,-0.05,-0.06,-30
868,0,0,0,0,9.70,-2.04,-1.35,-0.11,0.03,-0.01,-30
848,0,0,0,0,9.72,-2.27,-1.13,-0.11,0.04,0.05,-30
798,0,0,0,0,9.72,-2.56,-0.83,-0.17,0.07,0.06,-30
784,0,0,0,0,9.68,-2.73,-0.98,-0.11,0.00,-0.00,-30
790,0,0,0,0,9.77,-2.18,-1.20,0.01,-0.08,-0.10,-30
759,0,0,0,0,9.88,-2.13,-1.31,-0.02,-0.05,-0.06,-30
770,0,0,0,0,9.62,-2.32,-1.05,-0.01,0.01,-0.01,-30
735,0,0,0,0,9.69,-2.52,-1.39,-0.03,-0.01,0.01,-30
716,0,0,0,0,9.71,-2.31,-1.34,-0.13,0.04,0.01,-30
701,0,0,0,0,9.64,-2.39,-1.08,-0.09,0.08,-0.00,-30
731,0,0,0,0,9.93,-2.35,-0.98,-0.09,0.03,-0.02,-30
753,0,0,0,0,9.78,-2.46,-0.44,-0.00,0.08,-0.02,-30
784,0,0,0,0,9.57,-2.57,-1.64,-0.01,-0.05,-0.04,-30
788,0,0,0,0,9.78,-2.32,-1.14,-0.04,0.03,-0.02,-30
710,0,0,0,0,9.74,-2.44,-1.00,-0.10,0.03,-0.06,-30
778,0,0,0,0,9.64,-2.41,-1.30,-0.11,-0.06,-0.01,-30
787,0,0,0,0,9.72,-2.26,-1.25,-0.12,0.04,-0.03,-30
763,0,0,0,0,9.77,-2.37,-0.99,-0.10,0.04,-0.00,-30
779,0,0,0,0,9.72,-2.37,-1.11,-0.09,-0.01,-0.03,-30
554,0,0,0,0,9.74,-2.29,-0.99,-0.10,0.03,-0.00,-30
611,0,0,0,0,9.72,-2.32,-0.94,-0.11,0.04,-0.01,-30
579,0,0,0,0,9.71,-2.49,-1.03,-0.11,-0.01,-0.01,-30
595,0,0,0,0,9.82,-2.13,-0.82,-0.11,0.05,-0.00,-30
642,0,0,0,0,9.79,-2.30,-0.75,-0.09,-0.01,-0.01,-30
633,0,0,0,0,9.71,-2.43,-1.15,-0.10,-0.07,-0.03,-30
566,0,0,0,0,9.69,-2.17,-1.34,-0.12,0.01,-0.02,-30
576,0,0,0,0,9.64,-2.51,-0.96,-0.14,0.07,0.03,-30
640,0,0,0,0,9.69,-2.07,-1.03,-0.11,0.03,-0.03,-30
553,0,0,0,0,9.80,-2.44,-1.17,-0.09,-0.02,-0.00,-30
581,0,0,0,0,9.71,-2.26,-1.04,-0.14,0.00,0.01,-30
592,0,0,0,0,9.69,-2.33,-0.96,-0.13,0.05,0.02,-30
591,0,0,0,0,9.74,-2.18,-0.55,-0.10,0.03,0.00,-30
592,0,0,0,0,9.64,-2.19,-1.04,-0.04,-0.10,0.00,-30
621,0,0,0,0,9.66,-2.37,-1.30,-0.11,0.07,0.03,-30
574,0,0,0,0,9.67,-2.39,-0.92,-0.10,0.07,-0.00,-30
565,0,0,0,0,9.70,-2.31,-1.04,-0.09,-0.03,-0.07,-30
528,0,0,0,0,9.73,-2.23,-1.38,-0.12,0.03,-0.02,-30
578,0,0,0,0,9.72,-2.34,-1.07,-0.09,-0.01,0.00,-30
595,0,0,0,0,9.73,-2.13,-1.04,-0.13,0.03,-0.01,-30
570,0,0,0,0,9.67,-2.35,-1.24,-0.14,0.05,0.04,-30
583,0,0,0,0,9.68,-2.49,-0.97,-0.12,0.07,-0.00,-30
575,0,0,0,0,9.69,-2.33,-1.03,-0.09,0.03,0.02,-30
610,0,0,0,0,9.71,-2.41,-0.93,-0.13,0.02,0.00,-30
639,0,0,0,0,9.77,-2.28,-0.94,-0.10,0.02,-0.02,-30
647,0,0,0,0,9.73,-2.18,-0.85,-0.08,0.01,-0.03,-30
654,0,0,0,0,9.76,-2.26,-1.00,-0.08,0.02,-0.01,-30
