Thumb,Index,Middle,Ring,Pinky,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Letter
366,299,339,90,169,9.21,-1.38,-3.10,-0.10,0.02,-0.01,-29
351,378,282,67,167,9.19,-1.53,-3.22,-0.10,0.02,-0.01,-29
368,435,321,52,169,9.29,-1.40,-3.14,-0.10,0.02,-0.01,-29
397,461,307,63,179,9.21,-1.46,-3.16,-0.10,-0.00,-0.02,-29
397,444,302,58,170,9.16,-1.45,-3.03,-0.11,0.02,0.00,-29
358,410,323,57,169,9.25,-1.42,-3.04,-0.10,0.03,-0.01,-29
400,404,320,62,160,9.18,-1.47,-3.04,-0.09,0.00,0.00,-29
388,418,321,64,179,9.19,-1.55,-3.09,-0.11,0.02,-0.00,-29
384,410,322,69,182,9.19,-1.42,-3.08,-0.10,0.04,0.00,-29
384,433,329,63,175,9.24,-1.56,-2.94,-0.09,0.01,0.00,-29
423,397,328,71,193,9.21,-1.48,-3.14,-0.09,-0.00,-0.01,-29
417,397,337,54,176,9.19,-1.56,-3.17,-0.09,0.00,0.00,-29
404,404,338,35,166,9.21,-1.56,-3.13,-0.10,0.02,0.00,-29
405,361,329,34,182,9.19,-1.52,-3.14,-0.10,0.01,-0.01,-29
395,354,323,66,198,9.34,-1.49,-2.79,-0.03,0.06,-0.03,-29
395,372,330,71,197,9.24,-1.63,-3.08,-0.02,0.12,-0.03,-29
384,371,314,49,182,9.18,-1.59,-3.16,0.05,-0.13,-0.11,-29
388,360,329,78,181,9.24,-1.64,-2.91,0.02,-0.03,-0.00,-29
378,366,336,46,182,9.11,-1.29,-3.48,-0.03,0.00,-0.09,-29
375,339,310,47,182,9.22,-1.29,-3.12,-0.03,0.10,-0.09,-29
371,340,320,51,185,9.24,-1.03,-2.90,0.02,-0.01,-0.05,-29
371,351,304,46,195,9.08,-1.62,-3.25,0.06,-0.05,-0.02,-29
350,361,317,43,190,9.13,-1.73,-3.37,0.03,-0.01,-0.04,-29
373,376,299,30,178,9.28,-1.41,-2.89,0.01,0.04,-0.09,-29
399,358,299,0,172,9.12,-1.46,-3.28,0.06,-0.05,-0.03,-29
383,286,342,2,179,9.18,-1.64,-3.25,-0.05,0.02,-0.04,-29
390,277,346,18,192,9.05,-1.63,-3.15,-0.17,0.04,0.00,-29
374,273,326,20,120,9.03,-1.62,-3.45,-0.24,0.01,0.06,-29
382,252,310,19,184,9.21,-1.49,-3.02,-0.34,0.05,0.11,-29
395,239,330,25,181,9.19,-1.44,-3.30,-0.32,0.02,0.11,-29
368,218,323,16,182,9.24,-1.50,-2.79,-0.20,0.10,0.04,-29
416,210,334,32,191,9.17,-1.15,-3.05,-0.05,-0.01,-0.02,-29
368,240,322,23,202,9.12,-1.49,-3.15,-0.08,-0.01,-0.01,-29
345,242,309,16,188,9.24,-1.62,-3.14,-0.08,0.05,-0.06,-29
318,206,272,14,176,9.05,-1.46,-3.45,-0.11,-0.01,-0.01,-29
338,198,272,22,185,9.33,-1.51,-2.81,-0.08,0.06,0.00,-29
331,207,261,13,178,9.24,-1.19,-2.98,-0.08,-0.02,-0.02,-29
334,229,271,9,172,9.11,-1.65,-3.18,-0.08,-0.02,0.04,-29
333,218,300,2,176,9.11,-1.56,-3.34,-0.10,-0.00,-0.03,-29
304,211,284,4,175,9.18,-1.42,-3.20,-0.10,0.04,-0.03,-29
273,176,282,16,178,9.42,-1.35,-3.01,-0.07,0.08,-0.02,-29
272,176,267,11,176,9.27,-1.37,-2.81,-0.03,0.01,-0.02,-29
255,176,282,5,186,9.12,-1.52,-3.17,-0.01,-0.12,-0.03,-29
279,176,266,3,178,9.01,-1.50,-3.73,-0.06,-0.05,-0.01,-29
322,162,279,11,190,9.14,-1.77,-3.37,-0.11,0.12,0.01,-29
306,177,256,0,181,9.29,-1.29,-3.08,-0.10,0.06,-0.02,-29
335,186,306,0,179,9.24,-1.38,-3.18,-0.07,0.01,-0.01,-29
302,192,308,0,178,9.19,-1.60,-2.96,-0.10,0.03,0.01,-29
336,199,309,11,197,9.19,-1.59,-3.18,-0.13,0.02,-0.01,-29
316,191,309,1,187,9.20,-1.38,-2.94,-0.12,0.04,-0.02,-29
319,186,328,11,186,9.24,-1.48,-3.05,-0.10,0.01,0.02,-29
327,193,355,2,199,9.19,-1.67,-3.01,-0.10,0.01,0.01,-29
315,209,277,0,182,9.20,-1.47,-3.06,-0.11,0.03,-0.00,-29
326,247,310,0,183,9.18,-1.55,-3.19,-0.15,0.01,0.01,-29
289,248,320,0,168,9.25,-1.39,-2.95,-0.15,0.04,0.03,-29
289,240,335,3,179,9.12,-1.56,-3.12,-0.16,-0.00,0.04,-29
283,240,337,5,176,9.04,-1.57,-3.45,-0.24,0.01,0.04,-29
277,247,339,14,183,9.17,-1.58,-3.13,-0.26,0.12,0.09,-29
293,256,325,16,188,9.30,-1.66,-2.76,-0.27,0.06,0.07,-29
277,246,326,0,169,9.31,-1.40,-2.98,-0.27,-0.00,0.05,-29
277,246,320,3,176,9.22,-1.33,-3.12,-0.27,0.03,0.08,-29
309,239,304,0,171,9.29,-1.50,-2.91,-0.25,0.06,0.11,-29
268,189,287,0,176,9.25,-1.34,-3.02,-0.23,0.00,0.03,-29
293,239,331,33,161,9.65,-1.66,-2.83,-0.12,0.12,-0.00,-29
279,229,291,85,103,9.38,-1.48,-2.51,-0.06,-0.04,-0.02,-29
271,252,267,139,85,9.15,-1.57,-3.00,0.01,-0.08,-0.05,-29
309,245,283,164,112,9.04,-1.52,-3.34,-0.03,-0.06,-0.03,-29
299,241,295,195,112,9.23,-1.63,-3.24,-0.06,0.03,-0.01,-29
304,250,272,182,103,9.33,-1.57,-2.84,-0.09,0.06,-0.01,-29
304,252,301,198,130,9.32,-1.57,-2.78,-0.04,0.05,-0.06,-29
273,237,314,131,116,9.23,-1.40,-2.95,0.03,-0.09,-0.07,-29
268,226,286,138,87,9.06,-1.64,-3.36,0.03,-0.06,-0.03,-29
279,225,304,201,102,9.19,-1.55,-2.92,-0.06,0.04,-0.04,-29
298,226,307,186,104,9.21,-1.52,-3.10,-0.08,-0.01,-0.02,-29
301,240,309,176,89,9.15,-1.53,-3.19,-0.10,-0.00,0.00,-29
285,235,325,205,117,9.18,-1.50,-3.00,-0.09,0.02,-0.01,-29
321,240,333,210,96,9.17,-1.51,-3.11,-0.10,0.01,-0.01,-29
295,253,322,182,101,9.21,-1.61,-3.04,-0.09,0.01,-0.00,-29
278,237,306,186,94,9.22,-1.58,-3.20,-0.11,0.02,-0.01,-29
302,234,320,141,91,9.26,-1.58,-3.12,-0.09,0.03,0.00,-29
308,240,314,201,96,9.20,-1.60,-3.16,-0.10,0.01,-0.01,-29
306,235,298,214,83,9.22,-1.55,-3.09,-0.10,0.00,-0.00,-29
310,226,304,219,83,9.18,-1.56,-3.21,-0.10,-0.00,-0.01,-29
310,224,286,243,126,9.19,-1.54,-3.11,-0.09,0.01,0.00,-29
301,222,307,205,135,9.19,-1.47,-3.06,-0.10,0.01,0.00,-29
333,225,331,180,141,9.22,-1.56,-3.10,-0.09,0.02,-0.01,-29
315,229,354,142,226,9.26,-1.61,-3.09,-0.11,0.03,-0.01,-29
306,240,360,167,222,9.22,-1.48,-3.11,-0.10,0.01,-0.01,-29
318,227,359,157,214,9.19,-1.54,-3.08,-0.10,0.02,-0.01,-29
330,219,363,141,212,9.20,-1.47,-3.13,-0.11,0.01,-0.01,-29
342,224,342,128,215,9.16,-1.49,-3.16,-0.10,0.02,-0.01,-29
326,235,332,116,215,9.24,-1.57,-3.04,-0.09,-0.00,-0.01,-29
338,230,367,127,236,9.18,-1.61,-3.11,-0.11,0.01,-0.00,-29
309,254,349,113,222,9.22,-1.59,-3.17,-0.11,0.02,-0.00,-29
310,229,326,118,226,9.17,-1.57,-3.14,-0.10,-0.00,-0.00,-29
323,215,346,107,233,9.22,-1.54,-3.10,-0.09,0.01,-0.00,-29
345,176,320,96,240,9.17,-1.55,-3.11,-0.10,0.04,0.01,-29
337,173,316,112,240,9.17,-1.57,-3.13,-0.10,0.00,-0.01,-29
362,176,327,98,225,9.16,-1.47,-3.17,-0.09,0.02,-0.01,-29
375,170,318,94,224,9.11,-1.60,-3.31,-0.11,0.00,0.01,-29
358,195,343,98,224,9.14,-1.59,-3.10,-0.10,0.02,0.00,-29
296,203,363,106,223,9.24,-1.61,-2.96,-0.09,0.02,0.01,-29
339,197,362,109,231,9.16,-1.70,-2.98,-0.09,0.01,-0.00,-29
306,202,358,112,225,9.15,-1.43,-3.26,-0.10,0.02,-0.01,-29
336,208,361,113,235,9.21,-1.64,-3.07,-0.09,0.01,-0.01,-29
305,205,335,97,234,9.20,-1.60,-3.05,-0.10,-0.00,-0.01,-29
301,211,354,80,242,9.20,-1.58,-3.17,-0.11,-0.00,-0.01,-29
293,203,415,96,258,9.12,-1.49,-3.16,-0.11,0.01,-0.01,-29
313,191,336,80,234,9.17,-1.49,-3.16,-0.09,-0.01,-0.01,-29
302,226,357,99,240,9.13,-1.60,-3.22,-0.11,0.01,-0.01,-29
320,193,365,97,247,9.17,-1.62,-3.17,-0.10,-0.01,-0.02,-29
306,189,354,99,258,9.08,-1.55,-3.30,-0.10,0.01,-0.01,-29
316,199,349,90,240,9.15,-1.66,-3.16,-0.09,0.03,0.00,-29
327,190,335,69,204,9.18,-1.60,-3.09,-0.09,-0.00,-0.01,-29
309,201,363,103,237,9.17,-1.59,-3.28,-0.10,0.02,-0.01,-29
349,208,368,92,240,9.13,-1.54,-3.20,-0.10,0.00,-0.01,-29
367,198,373,83,240,9.13,-1.50,-3.27,-0.10,0.02,-0.00,-29
336,206,385,112,239,9.12,-1.59,-3.19,-0.09,0.03,-0.01,-29
377,194,377,75,238,9.18,-1.60,-3.06,-0.10,-0.00,0.00,-29
377,173,368,94,246,9.11,-1.60,-3.16,-0.10,0.01,0.00,-29
338,148,336,107,227,9.21,-1.58,-3.18,-0.08,0.03,-0.01,-29
323,158,348,79,237,9.18,-1.59,-3.14,-0.10,0.02,-0.00,-29
336,142,315,80,226,9.17,-1.53,-3.07,-0.10,-0.01,-0.02,-29
325,139,301,77,240,9.12,-1.59,-3.27,-0.09,0.01,-0.02,-29
357,160,296,80,218,9.16,-1.60,-3.17,-0.11,0.01,-0.00,-29
350,139,349,129,242,9.19,-1.49,-3.17,-0.09,0.03,0.00,-29
333,138,337,125,240,9.18,-1.56,-3.13,-0.12,0.02,-0.00,-29
333,150,304,100,241,9.09,-1.76,-3.23,-0.10,-0.01,0.04,-29
365,132,298,135,243,9.14,-1.62,-3.13,-0.09,0.02,-0.01,-29
364,171,294,119,224,9.16,-1.66,-3.25,-0.09,0.01,-0.01,-29
374,161,276,139,218,9.09,-1.54,-3.27,-0.10,0.01,-0.01,-29
361,163,284,118,195,9.16,-1.53,-3.27,-0.09,0.05,0.01,-29
368,117,300,126,208,9.14,-1.65,-3.08,-0.09,0.03,0.01,-29
347,181,322,125,190,9.17,-1.68,-3.13,-0.09,0.03,0.01,-29
374,176,318,131,206,9.13,-1.68,-3.21,-0.10,0.01,-0.00,-29
351,206,299,134,208,9.19,-1.65,-3.09,-0.09,-0.01,-0.00,-29
368,192,288,107,192,9.07,-1.68,-3.21,-0.06,-0.01,-0.01,-29
369,191,305,147,229,8.99,-1.72,-3.15,-0.18,-0.02,0.07,-29
383,186,302,138,232,8.92,-1.47,-3.34,-0.07,0.07,0.11,-29
393,184,302,153,234,9.03,-1.44,-3.44,-0.04,0.11,0.01,-29
395,187,277,145,239,9.43,-1.95,-2.14,-0.08,-0.06,0.05,-29
