Thumb,Index,Middle,Ring,Pinky,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Letter
269,0,0,0,0,2.60,-7.15,-1.90,-0.38,0.37,-0.02,A
0,0,0,0,0,2.54,-10.58,-2.79,0.16,0.27,-0.20,A
0,0,0,0,0,3.41,-9.26,-1.74,0.26,-0.10,-0.28,A
0,0,0,0,0,4.49,-8.84,-0.11,1.07,-0.67,-0.26,A
0,0,97,0,0,4.01,-8.63,-0.11,0.79,-0.46,-0.16,A
0,206,986,0,0,2.42,-9.16,0.23,0.31,-0.05,-0.25,A
0,1158,960,0,0,3.63,-9.89,0.53,-0.32,-0.01,0.17,A
0,271,0,0,0,4.57,-9.71,1.19,1.08,0.10,-0.67,A
34,0,0,0,0,4.58,-6.49,4.04,4.37,-0.84,-1.67,A
0,462,0,0,0,6.97,-5.66,8.01,-0.39,0.46,-0.08,A
739,1622,496,0,0,6.05,-6.41,7.53,-0.31,0.63,0.35,A
3,0,0,0,0,7.79,-6.07,8.94,0.40,-0.83,0.10,A
0,0,46,0,0,6.99,-6.85,9.39,-4.37,1.78,2.05,A
0,1891,688,0,1125,4.82,-8.08,-5.81,-2.33,0.74,-0.51,A
0,1899,707,192,1319,4.21,-5.78,-7.22,-1.39,0.16,-0.43,A
0,1094,862,131,939,3.92,-4.23,-6.49,0.28,-0.38,0.28,A
0,810,877,74,605,3.99,-5.52,-5.80,1.62,-0.25,0.11,A
0,944,726,5,610,3.67,-6.00,-0.45,4.37,-1.29,-1.01,A
51,86,0,0,0,4.66,-6.44,9.22,4.37,-2.19,-1.79,A
720,0,0,0,0,3.67,-9.58,-3.21,-0.84,-0.11,0.12,A
0,0,0,0,0,4.43,-10.91,-2.19,1.96,-0.71,-1.25,A
103,0,0,0,0,4.42,-10.28,-1.95,0.84,-0.27,-0.39,A
19,0,0,0,0,3.56,-7.82,-0.03,-2.03,0.63,1.52,A
0,0,0,0,0,4.35,-9.63,-2.38,-1.15,0.09,0.85,A
1232,0,0,0,0,2.36,-9.36,-3.43,-0.22,0.02,0.19,A
714,0,0,0,0,3.17,-7.70,-4.46,-0.42,0.07,0.01,A
366,0,0,0,0,3.45,-7.33,-4.78,-0.43,0.07,0.12,A
0,0,0,0,0,2.93,-6.90,-5.00,0.31,0.10,0.76,A
1023,0,0,0,0,2.29,-8.61,-4.40,0.68,-0.14,0.08,A
1203,0,0,0,0,2.35,-8.51,-4.06,0.04,-0.02,-0.00,A
974,0,0,0,0,2.87,-9.37,-3.96,0.16,-0.21,-0.26,A
0,0,0,0,0,2.98,-9.85,-3.21,-1.03,-0.20,0.81,A
0,0,0,0,0,1.82,-10.10,-3.68,0.31,-0.07,-0.53,A
20,0,0,0,0,2.49,-6.46,-5.22,0.82,-0.00,0.05,A
236,0,0,0,0,4.00,-8.39,-3.26,1.12,-0.41,-0.47,A
16,2637,2445,410,464,3.05,-9.18,2.26,0.74,-0.32,0.39,A
0,2653,2704,1272,1328,3.21,-9.42,1.93,-0.62,-0.56,0.19,A
181,743,86,0,0,2.90,-10.32,3.47,0.02,-0.57,0.07,A
384,0,0,0,0,0.86,-8.95,-2.66,-4.37,1.59,1.27,A
0,0,0,0,0,5.81,-1.84,-2.63,4.37,-0.96,-3.00,A
288,0,205,0,0,5.15,-8.98,11.34,4.37,-1.79,-2.98,A
87,0,124,0,0,5.80,-0.56,5.24,-0.42,0.15,0.33,A
0,0,0,0,0,5.78,-8.61,9.43,-4.37,0.55,1.55,A
0,0,0,0,0,4.17,-2.05,0.56,-3.52,0.54,0.92,A
0,0,0,0,0,3.76,0.93,-7.86,-4.37,1.49,0.98,A
0,0,0,0,0,3.91,-4.80,-8.09,1.84,0.32,-0.64,A
0,0,0,0,0,4.37,-7.80,-5.84,3.44,0.81,-0.97,A
0,0,0,0,0,6.12,-7.83,2.79,4.37,-1.24,-2.03,A
288,0,0,0,0,6.95,-8.34,9.74,4.37,-1.72,-0.88,A
0,0,0,0,0,10.01,1.79,-5.70,-4.37,2.16,0.24,A
0,0,0,0,0,6.69,-3.83,-5.71,1.53,-0.79,0.27,A
0,0,0,0,0,5.60,-5.08,-6.11,0.57,-0.38,-0.03,A
0,0,0,0,0,5.80,-6.30,-4.85,-1.25,0.19,0.12,A
0,0,0,0,0,6.70,-3.50,-4.26,2.47,-0.92,-0.85,A
0,0,0,0,0,5.21,-12.27,1.68,-1.47,-0.14,0.42,A
0,0,0,0,0,5.50,-8.29,-0.56,-0.66,-0.03,0.25,A
0,0,0,0,0,5.09,-8.37,-1.19,-0.18,-0.08,0.08,A
0,0,23,0,0,4.87,-8.10,-1.34,-0.10,-0.03,0.02,A
0,0,17,0,0,4.90,-8.50,-1.38,-0.06,0.02,0.02,A
0,0,1,0,0,4.86,-8.65,-1.30,-0.19,0.05,0.01,A
0,0,2,0,0,4.86,-8.32,-1.58,-0.07,0.03,-0.02,A
0,0,2,0,0,4.97,-8.34,-1.36,-0.05,0.01,-0.02,A
0,0,16,0,0,4.52,-9.39,-1.30,-0.66,0.11,0.08,A
0,0,0,0,0,4.62,-5.09,-5.85,-1.77,0.36,0.08,A
0,0,0,0,0,5.08,-5.28,-6.16,-0.12,-0.01,-0.12,A
0,0,0,0,0,4.85,-5.01,-6.07,-0.09,-0.02,-0.02,A
0,0,0,0,0,4.86,-5.28,-6.10,-0.30,0.04,0.07,A
